Item No.,Item Description
XFM500,FIBRE METAL FACESHIELD HEADGEAR
XBVA1500,HYDRAULIC PUMP FOR KARRYKRIMP
XLS70500,LISLE 8 PC TAP SOCKET SET
XLA-500,"COMPRESSION LUG 4 GAUGE TO 500 MCM, ALUMINUM"
XKLN32500,KLEIN 11-IN-1 SCREWDRIVER/NUT DRIVER
XANN500,"FUSE - ANN, 500 AMP"
XQ2500,DUST B GONE DUSTER CANNED AIR 7 OZ NT WT
XANL500,"FUSE - ANL, 500 AMP"
XUA36500,"PAPER DISC PSA 5"" 80 GRIT W/O VACUUM HOLES"
XBEL8240-500,"BELDEN RG-58A/U TYPE COAX CABLE, 20 AWG, 500' PULL BOX"
VSM1500,"LIGHT RECTANGULAR 1-BULB LAMP 2-1/2""L X 1-1/4""W, RED"
XAMG500,FUSE - AMG STUD-MOUNT 500 AMP
XUA77501,NW BELT 3-1/2 X 15-1/2 MAROON
XUA23501,TM 14 X 1/8 X 1 HOBO
XUA36501,"5"" GOLD A100D PSA DISC ROLL"
XUA48501,4-1/2x.090x5/8 TURBO CE PREM
XUA37501,"4S 5"" HOOK AND LOOP 60X DISC"
XUA57501,BL BELT 3 X 24 1A-X 36
XA19501,AUVECO TRIM PANEL RETAINER 25/BOX
TR22501,TIRE REPAIR METAL VALVE CAP 7572B
ER404303501,"ALUMINUM WELDING WIRE, .035, 1 LB SPOOL"
XGCF4501,TRIPLE STRIKER
XOL90501,"ABSORBENT PAD - DRUM TOPPER 22"" DIAMETER - 25 PACK"
XUA03501,CUP BRUSH 2 3/4 X .020 5/8-11 ARBOR KNOT STYLE
XM501,MILTON WINDOW INFLATOR GAUGE
XA18501,"AUVECO NYLON BLIND RIVETS 25/BOX, 3/16"" DIAMETER X 5/32""-1/4"" GRIP"
X12010501,"WEATHER PACK CONNECTOR HOUSING 2 POSITION, FEMALE"
XBS4501,FLINT STRIKER TRIPLE
XAPG1501,DUST MASK  50/BX
XUA06501,CUP BRUSH 2 3/4 X .020 5/8-11 ARBOR
XAPPBH501,APPLETON BEAM CLAMP 5/16
XUA23502,TM 16 X 1/8 X 1 HOBO
XUA77502,NW BELT 3-1/2 X 15-1/2 BLUE
XUA27502,CH II 4-1/2 X 1/8 X 7/8 100X
XUA48502,5x.090x5/8 TURBO CE PREM
XUA57502,BL BELT 3 X 24 1A-X 40
XUA36502,"5"" GOLD A120D PSA DISC ROLL"
XST502,"JIGSAW BLADES BOSCH STYLE 4"" 10TPI  5/POUCH"
XCGW60502,"TWIST KNOT WIRE WHEEL BRUSH, 4"" X .020"" X 5/8""-11"
XUA00502,ACID BRUSH 7/16  WIDE 144 PER CARTON
XQ502,QUEST QUIK SOLV SOLVENT CLEANER 12 OZ NET WT.
XA18502,AUVECO NYLON BLIND RIVET 25/BOX
XUA57503,BL BELT 3 X 24 1A-X 50
XUA36503,"5"" GOLD A150D PSA DISC ROLL"
XUA73503,SAITLAM PN 4-1/2 X 7/8 Z 50X
XUA3503,2-3/4X.020CSXM10X1.25 KNOT CUP
XUA6503,B/L2-3/4X.020CSXM10X1.25KNT CP
XID30-503,"CRIMPMASTER RATCHETING TOOL, RG-6 AND RG-59, F STYLE"
XBSS5503,"ANL FUSE BLOCK WITH INSULATING COVER, 35 A TO 750 A"
XBA885503,MARKAL DURA-INK FELT TIP MARKER BLACK
XM503,MILTON INFLATOR GAUGE
XST503,"JIGSAW BLADES BOSCH STYLE 4"" 14TI 5/POUCH"
XUA57504,BL BELT 3 X 24 1A-X 60
XUA3504,2-3/4X.020CSXM10X1.5 KNOT CUP
XUA48504,7x.090x5/8 TURBO CE PREM
XUA6504,B/L2-3/4X.020CSXM10X1.5 KNT CP
XWP1504,METRIPACK 150 P2S 2 POSITION PIGTAIL
X3M06504,3M MARINE ADHESIVE/SEALANT 10 OZ CARTRIDGE BLACK
XUA36504,"5"" GOLD A180C PSA DISC ROLL"
X3M4504,"3M VINYL FOAM TAPE BLACK 2"" X 18 YDS"
XPNC504,"PLASTIC NUT COVER, 0.504"" ACROSS THE FLATS"
XA15504,AUVECO UNIVERSAL TERMINALS 25/BOX
XST504,"JIGSAW BLADES BOSCH STYLE 4"" 18TI 5/POUCH"
XUA57505,BL BELT 3 X 24 1A-X 80
XUA36505,"5"" GOLD A220C PSA DISC ROLL"
XUA37505,"4S PSA DISC 5"" 80X"
XUA3505,2-3/4X.020CSX1/2-13 KNOT CUP
XUA6505,B/L2-3/4X.020CSX1/2-13 KNT CUP
XUA80505,1 X 50 YDS 50X HANDY ROLL
XUA81505,1 X 50 YDS 150X HANDY ROLL
XZ495505,ZENALUBE OPEN GEAR LUBRICANT NET WT 14 OZ
XVSM1505,CLEARANCE/MARKER LIGHT L.E.D. RED
XM505,MILTON WINDOW INFLATOR GAUGE
X7600505,"ON - OFF, SPST, LIGHTED TOGGLE SWITCH, GREEN"
X404303505,"ALUMINUM WELDING WIRE, .035, 5 LB SPOOL"
XBA623505,ROMEX CLAMP CONNECTOR 3/8
X3M06505,"3M ADHESIVE TRANSFER TAPE 969  1/2"" X 36 YDS"
X221-505,"WAGO MOUNTING CARRIER, 221 SERIES, 5 CONDUCTOR TERMINAL BLOCKS"
XUA57506,BL BELT 3 X 24 1A-X 100
XUA60506,QS BELT 2 X 48 1A-X 36
XUA37506,"4S PSA DISC 5"" 100X"
XUA27506,CH II 5 X 1/8 X 7/8 36X
XUA3506,2-3/4X.020SSX5/8-11 KNOT CUP
XUA6506,B/L 2-3/4X.020SSX5/8-11 KNT CP
XD3506,"DIXON STEEL MALE NIPPLE 3/8"" MNPT X 3/8"" HOSE BARB"
XUA36506,"5"" GOLD A240C PSA DISC ROLL"
XA19506,TRUNK LINING RETAINER 16MM HD 15/BX
XUA81506,"SHOP ROLL 1-1/2"" X 50 YDS 150 GRIT"
XM506,MILTON WINDOWN INFLATOR GAUGE
X7506,"TRUCK VALVE 3/8"" HOSE 3/8"" MALE PIPE"
XQ506,BIG ORANGE SOLVENT CLEANER TAR AND ASPHALT 12 OZ. NET WT.
XUA57507,BL BELT 3 X 24 1A-X 120
XUA37507,"4S PSA DISC 5"" 120X"
XUA27507,CH II 5 X 1/8 X 7/8 60X
XUA3507,2-3/4X.020SSXM14X2.0 KNOT CUP
XCGW51507,"CERAMIC DISC 5"" 400X"
XA20507,LOOM CLAMP 7/8 10/BOX
XST507,"JIGSAW BLADES UNIVERSAL 4"" 10 TPI 5 PER PACKAGE"
XA24507,"WELL NUT & SCREW ROOF RACK ASSEMBLY, 10 PER BOX"
X112507,AMP  RG-59 COAXIAL CONNECTOR
XUA57508,BL BELT 3 X 24 1A-X 150
XUA60508,QS BELT 2 X 48 1A-X 50
XUA36508,"5"" GOLD A320C PSA DISC ROLL"
XUA37508,"4S PSA DISC 5"" 150X"
XUA27508,CH II 5 X 1/8 X 7/8 100X
XUA3508,2-3/4X.020SSXM10X1.25 KNOT CUP
XCGW51508,"CERAMIC DISC 5"" 600X"
XAT02508,"FERRULE CONNECTOR NYLON 24 GAUGE,  YELLOW"
XST508,"JIGSAW BLADES UNIVERSAL 4"" 14 TPI 5 PER PACKAGE"
XP34-508,POLLAK TOGGLE SWITCH GUARD
XA20508,"CLAMP RUBBER CUSHIONED 1"" DIAMETER, 1/4"" STUD 10/BOX"
XUA57509,BL BELT 3 X 24 1A-X 180
XUA37509,"4S PSA DISC 5"" 180X"
XUA36509,"5"" GOLD A400C PSA DISC ROLL"
XMK11509,MARKAL COOL GEL 32 OUNCE SPRAY
X17-509,"POCKET TIRE PRESSURE GAUGE, 17-509"
XST509,"JIGSAW BLADES UNIVERSAL 4"" 18 TPI"
XA20509,"CLAMP RUBBER CUSHIONED 1-1/4"" DIAMETER, 1/4"" STUD 10/BOX"
XV150H050A,"HEX 5MM POWER BIT, LENGTH 2"""
X280MR50A,"ISO 280 MINI RELAY, 12V DC, 50A, SPDT, WEATHER RESISTANT SEAL"
XPANLWC50A,"CABLE CLAMP ADHESIVE BACKED 1/2"""
XTBRB14-250A,"TERMINAL FEMALE NYLON-INS  22-18 GAUGE, 90° FLAG"
MP150A,"ASSORTMENT-TERMINALS/CONN. 450 PCS, METRI-PACK 150"
XFW50B,"FLAT WASHER BRASS 1/2"" ONE POUND (37 PCS)"
X17W06150B,"FLAT WASHER NYLON BLACK .260"" I.D., .615"" O.D."
ZCAS250B,FUSE - ZCASE 250 AMP
XBBLU050D,"COMPRESSION LUG 500 MCM, 1/2"" STUD LONG BARREL"
XQC5951-050E,COPPER LUG 6 GAUGE 5/16 STUD TIN PLATED
X6FRC250E,"TERMINAL FEMALE NYLON-INS  14-12 GAUGE, .250"" TAB"
X4FRC250E,"TERMINAL FEMALE BULLET VINYL-INS 12-10 GAUGE .250"" TAB MOLEX"
8MTA250F,"TERMINAL MALE FULL-NYLON-INS 22-18 GAUGE, .250"" TAB"
X8FR0250F,"TERMINAL FEMALE FULL-NYLON-INS 24-26 GAUGE, .250 X .035 TAB"
XML6-14-250F,"TERMINAL MULTI-LINK FEMALE 14-16 GAUGE, .250"" TAB"
X8FRA250F,TERMINAL 22-18 GAUGE FULLY INSULATED NYLON
6MTB250F,"TERMINAL MALE  FULL-NYLON-INS 16-14 GAUGE, .250"" TAB"
MDT250F,TERMINAL FULL-INS DOUBLE MALE .250
6FRB250F,"TERMINAL FEMALE FULL-NYLON-INS 16-14 GAUGE, .250"" TAB"
8MTC250F,"TERMINAL MALE FULL-NYLON-INS 12-10 GAUGE, .250"" TAB"
8MTB250F,"TERMINAL MALE FULL-NYLON-INS 16-14 GAUGE, .250"" TAB"
8FRA250F,"TERMINAL FEMALE FULL-NYLON-INS 22-18 GAUGE, .250"" TAB"
8FRB250F,"TERMINAL FEMALE FULL-NYLON-INS 16-14 GAUGE, .250"" TAB"
8FRC250F,"TERMINAL FEMALE FULL-NYLON-INS 12-10 GAUGE, .250"" TAB"
XH34650H,"FIRST AID KIT, CUTS, BRUISES, EYE CARE AND BURNS, PLASTIC BOXES"
SNIC-0750-6250H,"GROOVE LOCK PIN SINGLE WIRE 3/4"" X 6-1/4"""
XSPF1483750H,DIAPER PIN .148DIA 3-3/4LENGTH 1-1/8 WIDTH
XBSWH250I,BLUE STAR MEDIUM DUTY TORCH HANDLE
XBSCA350I,HEAVY DUTY VICTOR STYLE SERIES 1 CUTTING ATTACHMENT
XBSWH350I,CUTTING TORCH  MIXING HANDLE
XMCT50L,"CABLE TIE 15.35"", BLUE, 50 LB TS METAL CONTENT TIE"
XCT350L,"HOSE CLAMP - CONSTANT TORQUE 2-3/4"" MIN - 3-5/8"" MAX"
XCT250L,"HOSE CLAMP - CONSTANT TORQUE 1-3/4"" MIN - 2-5/8"" MAX"
XTAPE-50M,"TAPE, SHIPPING 2  X 50 M"
X16X1.5X50M,"HEX CAP SCREW BOLT METRIC PLAIN M16-1.50 X 50, CL 8.8"
X18X1.5X50M,"HEX CAP SCREW BOLT METRIC ZINC M18-1.50 X 50, CL 8.8"
X20X150M,METRIC CAPSCREW GRADE 8.8 ZINC M20-2.5X150 HCS
X7X50M,"HEX CAP SCREW BOLT METRIC PLAIN M7-1.0 X 50, CL 8.8"
XML6-10-250M,"TERMINAL MULTI-LINK MALE 10-12 GAUGE, .250"" TAB"
X8X1.0X50M,"HEX CAP SCREW BOLT METRIC ZINC M8-1.0 X 50, CL 8.8"
X5X50M,"HEX CAP SCREW BOLT METRIC ZINC M5-0.80 X 50, CL 8.8"
X24X50M,"HEX CAP SCREW BOLT METRIC ZINC M24-3.0 X 50, CL 8.8"
X20X50M,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 50, CL 8.8"
X14X1.5X50M,"HEX CAP SCREW BOLT METRIC ZINC M14-1.50 X 50, CL 8.8"
X20X1.5X50M,"HEX CAP SCREW BOLT METRIC ZINC M20-1.50 X 50, CL 8.8"
X10X1.25X50M,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 50, CL 8.8"
XML6-14-250M,"TERMINAL MULTI-LINK MALE 14-16 GAUGE, .250"" TAB"
X10X1.0X50M,"HEX CAP SCREW BOLT METRIC ZINC M10-1.0 X 50, CL 8.8"
X12X1.50X50M,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 50, CL 8.8"
X12X1.25X50M,"HEX CAP SCREW BOLT METRIC ZINC M12-1.25 X 50, CL 8.8"
6X50M,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 50, CL 8.8"
8X50M,"HEX CAP SCREW BOLT METRIC ZINC M8-1.25 X 50, CL 8.8"
16X50M,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 50, CL 8.8"
10X50M,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 50, CL 8.8"
14X50M,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 50, CL 8.8"
12X50M,"HEX CAP SCREW BOLT METRIC ZINC M12-1.75 X 50, CL 8.8"
5X50M,"HEX CAP SCREW BOLT METRIC ZINC M5-.80 X 50, CL 8.8"
XT050N,WHEEL WEIGHT T LEAD COATED 1/2 OZ 25/BOX
XM14X1.50N,HEX NUT METRIC ZINC M14-1.50 CL 8
XM5X50P,METRIC MACH. SCREW PHILLIPS PAN HD M5-0.80 X 50
XCT150P,PILOT PIN 5/16 DIAMETER FOR
XM8X50P,METRIC MACH. SCREW PHILLIPS PAN HD M8-1.25 X 50
XM6X50P,METRIC MACH. SCREW PHILLIPS PAN HD M6-1.0 X 50
XQC5350P,"BATTERY TERMINAL MILITARY STYLE, LEAD, POSITIVE"
XOR50R,BOSS O'RING 50R
XKP2742-1-50R,WELDING NOZZLE
XT50RFT5T50R,"CABLE TIE/FIR TREE PUSH MOUNT, 8"", .17-.20 MTG HOLE, BLK 50LB TS"
XTL30250R,"TRUCK LITE 2"" LED ROUND MARKER LIGHT RED"
XMCT50R,"CABLE TIE 7.87"", BLUE, 50 LB TS METAL CONTENT TIE"
XTL10250R,LED 2-1/2 CLEARANCE MARKER TRUCKLITE 10250R
XTYIT50R,"CABLE TIE 8"", NATURAL, 50 LB TS IDENTIFICATION TIE"
XHP0750-6250R,"HITCH PIN 3/4 X 6-1/4"", OAL 7"", ROUND HANDLE"
XSNAP-312-2250S,"SNAP RING 5/16"" DIAMETER 2-1/4 LONG ROUND HANDLE"
XHP0750-5250S,HITCH PIN 3/4 X 5
XSNAP-250-2250S,LOCKING PINS 1/4 X 2-1/4 SQUARE DOUBLE WIRE
XFC450S,"TYVEK SHOE AND BOOT COVERS, ONE SIZE FITS MOST, 200 PAIRS IN CASE"
XRBD1-50T,"3M ROLOC BRISTLE DISC 1"" DIA. 50 GRADE"
RBD2-50T,"ROLOC BRISTLE - DISC 2"" 50 GRIT, 5/8"" TAPERED"
RBD3-50T,"ROLOC BRISTLE - DISC 3"" 50 GRIT, 5/8"" TAPERED"
XHSRA56-50V,"TERMINAL RING HEAT SHRINK 18-22 GA 5/16"" STUD  50 CT BAG"
2TY7R-50V,"CABLE TIE, W/RING 7"", BLACK, 50 LB TS"
HSRA10-50V,"TERMINAL RING HEAT SHRINK 22-18 GA, #10 STUD, 50 CT BAG"
HSRB10-50V,"TERMINAL RING HEAT SHRINK 16-14 GA, #10 STUD, 50 CT BAG"
HSRB56-50V,"TERMINAL RING HEAT SHRINK 16-14 GA, 5/16"" STUD, 50 CT BAG"
HSRC10-50V,"TERMINAL RING HEAT SHRINK 12-10 GA, #10 STUD, 50 CT BAG"
HSRC38-50V,"TERMINAL RING HEAT SHRINK 12-10 GA, 3/8"" STUD, 50 CT BAG"
HSRC56-50V,"TERMINAL RING HEAT SHRINK 12-10 GA, 5/16"" STUD, 50 CT BAG"
2TY7-50V,"CABLE TIE 7"", BLACK, 50 LB TS BULK (PANDUIT)"
XHSRA14-50V,"TERMINAL RING HEAT SHRINK 18-22 GA 1/4"" STUD, 50 CT BAG"
HSRB38-50V,"TERMINAL RING HEAT SHRINK 16-14 GA, 3/8"" STUD, 50 CT BAG"
HSC-50V,"TERMINAL BUTT HEAT SHRINK 12-10 GAUGE, 50 CT BAG"
HSRC14-50V,"TERMINAL RING HEAT SHRINK 12-10 GA, 1/4"" STUD, 50 CT BAG"
2TY15-50V,"CABLE TIE 15"", BLACK, 50 LB, 50 CT BAG"
HSFRBF-50V,"TERMINAL FEMALE FULL HEAT SHR 16-14 GA, .250"" TAB, 50 CT BAG"
HSMTBF-50V,"TERMINAL MALE FULL HEAT SHRINK 16-14 GA, .250"" TAB, 50 CT BAG"
HSRB14-50V,"TERMINAL RING HEAT SHRINK 16-14 GA, 1/4"" STUD, 50 CT BAG"
XKS56-14-50V,"HEAT SHRINK STEP DOWN BUTT CONNECTOR 16-14 TO 12-10, 50 CT BAG"
HSB-50V,"TERMINAL BUTT HEAT SHRINK 16-14 GAUGE, 50 CT BAG"
PP1050250V,POWER PLUG FOR WELDER 250V 50 AMP MALE 3 PRONG
XLF273.250V,"FUSE - 273 SERIES, 2-1/2 AMP"
XF5AL250V,"FAST BLOW FUSE, GLASS, 5 AMP 250V"
HSA-50V,"TERMINAL BUTT HEAT SHRINK 20-18 GAUGE,  50 CT BAG"
XKS56-16-50V,HEAT SHRINK STEP DOWN BUTT CONNECTOR 14-16 TO 18-22 50 CT BAG
XPR5239-50W,PROTO 3/8 DRIVE SOCKET T50 TORX
XWEL7250W,WELLER SOLDERING TIPS 2/PACK
XDD350X,"DRILL DOCTOR 3/32-1/2"""
XTL30250Y,"TRUCK LITE 2"" LED ROUND MARKER LIGHT AMBER"
XTL10250Y,LED 2-1/2 CLEARANCE MARKER TRUCKLITE 10250Y
XMC050Z,WHEEL WEIGHT MC ZINC 1/2 OUNCE 25/BOX
XMC150Z,WHEEL WEIGHT MC ZINC 1-1/2 OUNCE 25/BOX
X5-983715-1,"TERMINAL TE NON-INS  20 GAUGE, FEMALE .63"" TAB"
X770145-1,TERMINAL MATE-N-LOK PIN 20-14 GAUGE
X175265-1,AMP MULTILOCK FEMALE TERMINAL
X7-1452665-1,TERMINAL NON-INS FOR MXP120 CONNECTOR 22-14 GAUGE
X776495-1,AMP SUPERSEAL 16 CAP 8 POSITION RED
X183025-1,TYCO SUPERSEAL 1.5 SERIES RECEPTACLE CONTACT 20-16 GAUGE
X282465-1,"TERMINAL TE SUPERSEAL 1.5MM 16-14 GAUGE, 1.5MM TAB, MALE"
XL8505-1,"LINZER 1"" FOAM PAINT BRUSH"
X794215-1,"MINI MATE N LOCK MALE HOUSING, 24 CONNECTORS"
XGOR2X35-1,"GORILLA TAPE 1.88"" X 35 YDS BLACK 1 ROLL"
XGPE45-1,"GALVANIZED PIPE 45 DEG ELBOW 1"""
X828905-1,TERMINAL HOUSING WIRE SEAL 2.5MM CPC SERIES 5.2MM DIAMETER  TE
X828985-1,TERMINAL HOUSING WIRE SEAL MCP 2.8 SERIES   TE
3M35-1,"ELECTRICAL TAPE - SCOTCH 35 3/4"" X 66', RED"
XM1865-1,MILTON SAFETY CLIP FOR UNIVERSAL COUPLING
X282105-1,"TERMINAL HOUSING 3 POSITION, SUPERSEAL 1.5 SERIES CAP TE"
XER5356035-1,WELDING WIRE .035 DIAMETER 1LB SPOOL ALUMINUM
XCT5-1,CARBIDE HOLE CUTTER 1
4043-035-1,WELDING WIRE .035 DIAMETER 1LB SPOOL ALUMINUM
XBPE45-1,"BLACK PIPE 45 ELBOW 1"""
XST-51,RECIPROCATING SAW BLADES 4 X 3/4 X .035  24TPI 5/PKG
XUA57510,BL BELT 3 X 24 2A-X 220
XUA60510,QS BELT 2 X 48 1A-X 80
XUA34510,"CF 5"" HOOK AND LOOP DISC 40X"
XUA37510,"4S PSA DISC 5"" 220X"
XUA50510,9S 4-1/2 X 7/8 24X B/L DISC
XUA27510,CH II 7 X 1/8 X 7/8 24X
XUA510,METAL CHIP BRUSH
XRBO1510,"REEVES BLAST OFF, 1 GALLON"
XM46510,"CHECK VALVE, 1/4"" FEMALE PIPE BOTH ENDS"
X8971739510,RELAY 12 VOLTS FOR NPR
XP54-510,"CIRCUIT BREAKER, STRAIGHT BRACKET, 10 AMP, TYPE I"
XKLNET510,KLEIN BORESCOPE
XST510,"JIGSAW BLADES UNIVERSAL 4"" 24 TPI 5 PER PACKAGE"
X64006510,60 AMP TIP
XUA60511,QS BELT 2 X 48 1A-X 100
XUA50511,9S 4-1/2 X 7/8 36X B/L DISC
XUA37511,"4S PSA DISC 5"" 320X"
XUA48511,4-1/2x.090x5/8 TURBO CC PREM+
XUA03511,CUP BRUSH 3-1/2 X .020 5/8-11 ARBOR KNOT STYLE
XUA06511,WIRE CUP BRUSH 3-1/2 X .020 WI 5/8-11 ARBOR
X3M8511,RESPIRATOR MASK 10/BX
XST511,"AIR SAW BLADE 3-1/2"" 10 TPI TAPERED 5/PACK"
X7511,"BULB 24V AC, 21 WATTS"
XUA34512,"CF 5"" HOOK AND LOOP DISC 60X"
XUA50512,9S 4-1/2 X 7/8 50X B/L DISC
XUA27512,CH II 7 X 1/8 X 7/8 60X
XUA48512,5x.090x5/8 TURBO CC PREM+
LWC10X10X512,LAMINATED WHEEL CHOCK 10X10X5-1/2
XMPB512,"MIN-PRY BAR 5-1/2"" RIGHT ANGLE CLAW"
XCGW42512,"FLAP DISC, 5"" X 5/8-11"" X 40 GRIT, TYPE 29, 10/BX"
XBA70512,PVC CEMENT 1/2 PINT
XTD07512,FERRULE CONNECTOR NYLON TWIN WIRE 20 GAUGE BLACK
X00512,BATTERY TERMINAL - TOP POST BRASS UNIVERSAL
XCGW35512,"CUT OFF WHEEL TYPE 1, 4"" X 1/8"" X 3/8"" ARBOR"
XAT07512,"FERRULE CONNECTOR NYLON 20 GAUGE,  BLUE"
XSPN38X512,"STAINLESS STEEL PIPE NIPPLE 3/8"" X 5-1/2"""
XUA06512,"SMALL WIRE CUP BRUSH, STAINLESS, 3-1/2 X .020 WI 5/8-11 ARBOR"
XBA623512,"ROMEX CLAMP CONNECTOR 3/4"""
XBA800512,STEEL WOOL 0000 SUPER FINE 12 PER BAG
XBPN12X512,"BLACK PIPE NIPPLE 1/2"" X 5-1/2"""
XST512,"AIR SAW BLADE TAPERED SCROLL 3-1/2"" 14TPI 5/PKG"
XUA57513,BL BELT 3 X 24 2A-X 320
XUA50513,9S 4-1/2 X 7/8 60X B/L DISC
XUA34513,"CF 5"" HOOK AND LOOP DISC 80X"
XUA37513,"4S PSA DISC 5"" 500X"
XUA27513,CH II 7 X 1/8 X 7/8 100X
XTLTS2513,"TRIM SEAL, CO-EXTRUDED, EPDM DUAL DUROMETER RUBBER/METAL .040""-.125"""
XUA03513,CUP BRUSH 3-1/2 5/8-11 ARBOR CRIMPED CARBON STEEL
XUA06513,CUP BRUSH 3-1/2 X .014 WIRE 5/8-11 ARBOR CRIMPED WIRE
XBA623513,"ROMEX CLAMP CONNECTOR 1"""
XP34-513,POLLAK TOGGLE SWITCH 2 POSITION 10 AMPS 12V
XST513,"AIR SAW BLADE TAPERED SCROLL 3-1/2"" 18TPI 5/PKG"
XUA22514,DS 4.5x1/4x5/8-11 ULT GRIND
XUA34514,"CF 5"" HOOK AND LOOP DISC 100X"
XUA3514,3-1/2X.014SSX5/8-11 CRIMP CUP
XUA48514,7x.090x5/8 TURBO CC PREM+
XUA6514,B/L3-1/2X.014SSX5/8-11 CRP CUP
X64006514,120 AMP ELECTRODE
XA19514,"RIVET BUTTON HEAD ALUM/AL 3/64"" DIAMETER, GRIP .050-.470"
XKP05514,"RATCHET TIE DOWN 1"" X 14 FT"
XUA00514,"PAINT BRUSH 2"" WIDTH"
XST514,"AIR SAW BLADE TAPERED SCROLL 3-1/2"" 24TPI 5/PKG"
XUA77515,NW BELT 1/2 X 24 BROWN
XUA22515,DS 5 X 1/4 X 5/8-11 ULT GRIND
XUA34515,"CF 5"" HOOK AND LOOP DISC 120X"
XUA81515,1 X 50 YDS 150X INDUSTRL ROLL
XUA80515,1 X 50 YDS 50X INDUSTRL ROLL
XA18515,TORX WASHER HD BODY BOLT M6-1.0 X 20MM
XBA800515,STEEL WOOL FINE 6 PADS PER BAG
XP54-515,CIRCUIT BREAKER STRAIGHT BRACKET 15 AMPS
XR64006515,"RADNOR STAND OFF CUP SHIELD, 20 - 120 AMP"
XA17515,AUVECO KEENSERT INSERTS 25/BX
MS44354515,MIG LINER 15 FT .035-.045 400 AMPS
MS42303515,"MIG LINER TWECO STYLE 200 AMP, 15 FT, .030""-.035"""
XA19515,"AUVECO, STEEL RIVET, 3/16"" DIA. 3/16""-3/8"" GRIP"
XS55515,"PRY BAR, 12-3/8,"" RIGHT ANGLE CLAW"
XST515,"AIR SAW BLADE TAPERED SCROLL 3-1/2"" 32TPI 5/PKG"
XUA77516,NW BELT 1/2 X 24 MAROON
XUA22516,DS 6 X 1/4 X 5/8-11 ULT GRIND
XUA52516,AO 5 X 7/8 16X BULK DISC
XUA34516,"CF 5"" HOOK AND LOOP DISC 150X"
XUA80516,1-1/2 X 50 YDS 50X INDST ROLL
XUA81516,1-1/2 X 50 YDS 150X INDST ROLL
XUA516,"WOOD HANDLED PAINT BRUSH 4"""
PD2X1-A-516,"APEX DRIVER BIT-PHILLIPS #2, 1"" LONG 5/16"" HEX"
BSM516,"DRILL BIT - BLITZ STORM 3 MECHANIC LENGTH, 5/16"""
XCGH516,"CLEVIS GRAB HOOK WITH LATCH, 5/16"
XBA280516,"CONDUIT STEEL LOCKNUT 3-4"""
TXB45-A-516,"APEX DRIVER BIT-TORX #45, 1"" LONG 5/16 DRIVE"
XBA623516,"ROMEX CLAMP CONNECTOR 2"""
TXB30-A-516,"APEX DRIVER BIT-TORX #30, 1"" LONG 5/16 DRIVE"
TXB55-A-516,"APEX DRIVER BIT-TORX #55, 1"" LONG 5/16 DRIVE"
XTXB55-516,TORX BIT #55  5/16 HEX DRIVE
XTXB30-516,TORX BIT #30 5/16 SHANK
TXB50-A-516,"APEX DRIVER BIT-TORX #50, 1"" LONG 5/16 DRIVE"
XUA37516,"PAPER DISCS HOOK AND LOOP 5"" 100 GRIT W/O VACUUM HOLES"
AL516,"5/16"" SHORT ARM ALLEN WRENCH HEX KEY"
TXB25-A-516,"APEX DRIVER BIT-TORX #25, 1"" LONG 5/16 DRIVE"
TXB40-A-516,"APEX DRIVER BIT-TORX #40, 1"" LONG 5/16 DRIVE"
XHEYM4516,"LIQUID TIGHT CORDGRIP .115"" MIN TO .250"" MAX"
XAN960-516,FLAT WASHER AN960C .32 I.D. 9/16 O.D. .062 THICKESS STAINLESS
XT4D516,DRILL BIT STUBBY 5/16
XTIM516,DRILL BIT MECHANICS LENGTH 5/16
XM516,MILTON INFLATOR GAUGE FOR INNER DUALS
XML116-516,TERMINAL MULTI-LINK RING 18-22 GAUGE 5/16 STUD
XVL516,HOSE VACUUM LINE 5/16 9/32 I.D.
XST516,"AIR SAW BLADE TAPERED SCROLL 4"" 18 TPI 5/PKG"
XCLP516,"STANDARD COPPER LUG, PLATED, 6 AWG, 5/16"" STUD, 10/PACK"
XIRR1-516,"RETAINING RING INTERNAL 1-5/16"""
XIRR1516,RETAINING RING INTERNAL 15/16
XTXB40-516,TORX BIT #40  5/16 SHANK
TIHD516,"DRILL BIT - HD BLACK GOLD JOBBER LENGTH, 5/16"""
TID516,"DRILL BIT-HEAVY DUTY JOBBER LENGTH, 5/16"""
XT9FHD1516,"DRILL BIT-BLACK GOLD/ 3 FLATS 15/16"", 1/2"" SHANK, HEAVY DUTY"
XERR1516,"RETAINING/SNAP RING EXTERNAL, 15/16"""
XUA22517,DS 7 X 1/4 X 5/8-11 ULT GRIND
XUA77517,NW BELT 1/2 X 24 BLUE
XUA37517,"4S 5"" HOOK AND LOOP 120X DISC"
XUA34517,"CE 5"" HOOK AND LOOP DISC 180X"
XM517,EXTENDED REACH TIRE INFLATOR GUAGE
