Item No.,Item Description
XUL20D6LT/TC,"UL 1015 WIRE 500' SPOOL 600V 16 GAUGE, LIGHT BLUE TINNED COPPER"
XLG2022W/XL,"NITRILE GLOVES-POWDER FREE 50/BOX, X-LARGE, 8 MIL"
XLG2018W/XL,"NITRILE GLOVES-POWDER FREE 50/BOX, X-LARGE, 8 MIL"
X686.728.30.BA.00.0,"LECHLER BRASS DEFLECTOR 1/8"" PIPE"
XMOR1.6X10.1,METRIC O RING 10.1MM I.D. 1.6MM THICKNESS
XSFG70.2,"ABSORBENT PAD, UNIVERSAL, 16"" X 18"", SINGLE PLY LIGHT, 100CT"
XE4043-1/8-0.5,WELDING ELECTRODE ALUMINUM 1/8 DIAM. 1/2 LB BOX
HNDSG40.6,HAND SANITIZER GEL 40.6oz
M3.5X0.6,HEX NUT METRIC ZINC M3.5-0.6 CL 8
XMOR2.4X10.8,"METRIC O RING 9.8 ID. 2.40 THICKNESS, 90 DUROMETER"
FW10ZC10.9,FLAT WASHER 10M 10.9 ZINC CLEAR
FW6ZC10.9,FLAT WASHER 6M 10.9 ZINC  CLEAR
FW8ZC10.9,FLAT WASHER 8M 10.9 ZINC CLEAR
X10X25MFS10.9,"STAINLESS SERRATED FLANGE BOLT, GRADE 10.9, M10 X 25"
XM4X30-10.9,"FLAT HEAD, FULL THREAD, M4 X 30, 10.9, ZINC"
X10X20FB10.9,"METRIC FLANGE BOLT, 10 X 20, ZINC, 10.9"
X14X1.5X100M10.9,"HEX CAP SCREW METRIC ZINC PLATED M14-1.5 X 100, 10.9"
X24X140M10.9,METRIC CAPSCREW GRADE 10.9 M24-3.0 X 140 HCS ZINC
X8X16MFS10.9,"HEX FLANGE BOLT METRIC ZINC SERRATED M8-1.25 X 16, CL 10.9"
X20X140M10.9,METRIC CAP SCREW GRADE 10.9 ZINC M20-2.5 X 140
X10X70MTAP10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 70, CL 10.9 FULL THREAD"
X12X50MTAP10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.75 X 50, CL 10.9 FULL THREAD"
X8X70MTAP10.9,"HEX CAP SCREW BOLT METRIC ZINC M8-1.25 X 70, CL 10.9 FULL THREAD"
X12X1.50X60M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 60, CL 10.9"
X10X1.0X30M10.9,METRIC CAPSCREW GRADE 10.9 M10-1.0X30
X10X20MFB10.9,"METRIC FLANGE BOLT, 10 X 20, ZINC, 10.9, FT"
X10X25MTAP10.9,"HEX CAP SCREW BOLT METRIC PLAIN M10-1.50 X 25, CL 10.9 FULL THREAD"
